"cohort_month";"months_since_signup";"active_mrr";"starting_mrr";"retention_pct"
"2023-01-01";0;3466.0;3466.0;100.0
"2023-01-01";1;3667.0;3466.0;105.8
"2023-01-01";2;3567.0;3466.0;102.9
"2023-01-01";3;3368.0;3466.0;97.2
"2023-01-01";4;3319.0;3466.0;95.8
"2023-01-01";5;3069.0;3466.0;88.5
"2023-01-01";6;3069.0;3466.0;88.5
"2023-01-01";7;3172.0;3466.0;91.5
"2023-01-01";8;3422.0;3466.0;98.7
"2023-01-01";9;3622.0;3466.0;104.5
"2023-01-01";10;3522.0;3466.0;101.6
"2023-01-01";11;3623.0;3466.0;104.5
"2023-01-01";12;4073.0;3466.0;117.5
"2023-01-01";13;4173.0;3466.0;120.4
"2023-01-01";14;3774.0;3466.0;108.9
"2023-01-01";15;3825.0;3466.0;110.4
"2023-01-01";16;3825.0;3466.0;110.4
"2023-01-01";17;4224.0;3466.0;121.9
"2023-01-01";18;4974.0;3466.0;143.5
"2023-01-01";19;4824.0;3466.0;139.2
"2023-01-01";20;4924.0;3466.0;142.1
"2023-01-01";21;4824.0;3466.0;139.2
"2023-01-01";22;4425.0;3466.0;127.7
"2023-01-01";23;4525.0;3466.0;130.6
"2023-01-01";24;4425.0;3466.0;127.7
"2023-01-01";25;4226.0;3466.0;121.9
"2023-01-01";26;4326.0;3466.0;124.8
"2023-01-01";27;4527.0;3466.0;130.6
"2023-01-01";28;4427.0;3466.0;127.7
"2023-01-01";29;4427.0;3466.0;127.7
"2023-01-01";30;4177.0;3466.0;120.5
"2023-01-01";31;4177.0;3466.0;120.5
"2023-01-01";32;4128.0;3466.0;119.1
"2023-01-01";33;3830.0;3466.0;110.5
"2023-01-01";34;4031.0;3466.0;116.3
"2023-01-01";35;4031.0;3466.0;116.3
"2023-02-01";0;3615.0;3615.0;100.0
"2023-02-01";1;3965.0;3615.0;109.7
"2023-02-01";2;3867.0;3615.0;107.0
"2023-02-01";3;3968.0;3615.0;109.8
"2023-02-01";4;3919.0;3615.0;108.4
"2023-02-01";5;4169.0;3615.0;115.3
"2023-02-01";6;4269.0;3615.0;118.1
"2023-02-01";7;4269.0;3615.0;118.1
"2023-02-01";8;4119.0;3615.0;113.9
"2023-02-01";9;3869.0;3615.0;107.0
"2023-02-01";10;4119.0;3615.0;113.9
"2023-02-01";11;4070.0;3615.0;112.6
"2023-02-01";12;4021.0;3615.0;111.2
"2023-02-01";13;4471.0;3615.0;123.7
"2023-02-01";14;4173.0;3615.0;115.4
"2023-02-01";15;4124.0;3615.0;114.1
"2023-02-01";16;4224.0;3615.0;116.8
"2023-02-01";17;4224.0;3615.0;116.8
"2023-02-01";18;4325.0;3615.0;119.6
"2023-02-01";19;3827.0;3615.0;105.9
"2023-02-01";20;3727.0;3615.0;103.1
"2023-02-01";21;4128.0;3615.0;114.2
"2023-02-01";22;3878.0;3615.0;107.3
"2023-02-01";23;3628.0;3615.0;100.4
"2023-02-01";24;3777.0;3615.0;104.5
"2023-02-01";25;3877.0;3615.0;107.2
"2023-02-01";26;3928.0;3615.0;108.7
"2023-02-01";27;3928.0;3615.0;108.7
"2023-02-01";28;4079.0;3615.0;112.8
"2023-02-01";29;4430.0;3615.0;122.5
"2023-02-01";30;4281.0;3615.0;118.4
"2023-02-01";31;4430.0;3615.0;122.5
"2023-02-01";32;4381.0;3615.0;121.2
"2023-02-01";33;4232.0;3615.0;117.1
"2023-02-01";34;4232.0;3615.0;117.1
"2023-03-01";0;3965.0;3965.0;100.0
"2023-03-01";1;3965.0;3965.0;100.0
"2023-03-01";2;3916.0;3965.0;98.8
"2023-03-01";3;3967.0;3965.0;100.1
"2023-03-01";4;4417.0;3965.0;111.4
"2023-03-01";5;4517.0;3965.0;113.9
"2023-03-01";6;4118.0;3965.0;103.9
"2023-03-01";7;4368.0;3965.0;110.2
"2023-03-01";8;4368.0;3965.0;110.2
"2023-03-01";9;4368.0;3965.0;110.2
"2023-03-01";10;4469.0;3965.0;112.7
"2023-03-01";11;4620.0;3965.0;116.5
"2023-03-01";12;4370.0;3965.0;110.2
"2023-03-01";13;4270.0;3965.0;107.7
"2023-03-01";14;4121.0;3965.0;103.9
"2023-03-01";15;4121.0;3965.0;103.9
"2023-03-01";16;4121.0;3965.0;103.9
"2023-03-01";17;4321.0;3965.0;109.0
"2023-03-01";18;4321.0;3965.0;109.0
"2023-03-01";19;4722.0;3965.0;119.1
"2023-03-01";20;4671.0;3965.0;117.8
"2023-03-01";21;4773.0;3965.0;120.4
"2023-03-01";22;4773.0;3965.0;120.4
"2023-03-01";23;4624.0;3965.0;116.6
"2023-03-01";24;4774.0;3965.0;120.4
"2023-03-01";25;4774.0;3965.0;120.4
"2023-03-01";26;5023.0;3965.0;126.7
"2023-03-01";27;5023.0;3965.0;126.7
"2023-03-01";28;5123.0;3965.0;129.2
"2023-03-01";29;5123.0;3965.0;129.2
"2023-03-01";30;5075.0;3965.0;128.0
"2023-03-01";31;4977.0;3965.0;125.5
"2023-03-01";32;4977.0;3965.0;125.5
"2023-03-01";33;4779.0;3965.0;120.5
"2023-04-01";0;4314.0;4314.0;100.0
"2023-04-01";1;4517.0;4314.0;104.7
"2023-04-01";2;4468.0;4314.0;103.6
"2023-04-01";3;4419.0;4314.0;102.4
"2023-04-01";4;4867.0;4314.0;112.8
"2023-04-01";5;4869.0;4314.0;112.9
"2023-04-01";6;4920.0;4314.0;114.0
"2023-04-01";7;4374.0;4314.0;101.4
"2023-04-01";8;4225.0;4314.0;97.9
"2023-04-01";9;4325.0;4314.0;100.3
"2023-04-01";10;4276.0;4314.0;99.1
"2023-04-01";11;4276.0;4314.0;99.1
"2023-04-01";12;4426.0;4314.0;102.6
"2023-04-01";13;4426.0;4314.0;102.6
"2023-04-01";14;4526.0;4314.0;104.9
"2023-04-01";15;4477.0;4314.0;103.8
"2023-04-01";16;4577.0;4314.0;106.1
"2023-04-01";17;4577.0;4314.0;106.1
"2023-04-01";18;4178.0;4314.0;96.8
"2023-04-01";19;4029.0;4314.0;93.4
"2023-04-01";20;3829.0;4314.0;88.8
"2023-04-01";21;4329.0;4314.0;100.3
"2023-04-01";22;4329.0;4314.0;100.3
"2023-04-01";23;3930.0;4314.0;91.1
"2023-04-01";24;4130.0;4314.0;95.7
"2023-04-01";25;4081.0;4314.0;94.6
"2023-04-01";26;4081.0;4314.0;94.6
"2023-04-01";27;4081.0;4314.0;94.6
"2023-04-01";28;3932.0;4314.0;91.1
"2023-04-01";29;3932.0;4314.0;91.1
