"month";"nrr_pct";"grr_pct";"arpu";"logo_churn_pct"
"2023-01-01";0.0;0.0;101.9;0.0
"2023-02-01";105.8;95.7;107.1;2.9
"2023-03-01";103.4;98.6;111.6;0.0
"2023-04-01";97.4;93.5;114.1;2.9
"2023-05-01";101.3;96.2;120.5;4.4
"2023-06-01";100.3;96.9;125.0;1.9
"2023-07-01";102.3;99.4;127.5;1.6
"2023-08-01";102.4;96.6;131.4;3.1
"2023-09-01";101.9;96.4;130.1;1.5
"2023-10-01";101.2;98.2;131.6;1.6
"2023-11-01";100.7;96.8;130.9;2.7
"2023-12-01";100.4;97.1;132.1;3.0
"2024-01-01";101.2;97.3;131.5;1.5
"2024-02-01";101.0;97.8;131.6;2.0
"2024-03-01";99.9;96.5;131.1;3.1
"2024-04-01";102.0;96.7;134.7;2.5
"2024-05-01";102.3;97.8;138.2;2.0
"2024-06-01";102.1;98.2;140.0;1.4
"2024-07-01";102.0;97.1;145.0;1.9
"2024-08-01";102.1;97.0;145.4;2.1
"2024-09-01";100.7;97.3;147.6;2.1
"2024-10-01";100.5;97.2;148.3;2.7
"2024-11-01";101.8;97.2;148.2;1.2
"2024-12-01";100.5;97.4;149.4;2.6
"2025-01-01";101.9;98.4;151.9;1.6
"2025-02-01";100.2;97.0;153.6;2.8
"2025-03-01";101.1;97.4;156.1;2.2
"2025-04-01";100.5;97.0;158.1;2.4
"2025-05-01";100.4;96.7;159.0;2.6
"2025-06-01";100.9;97.3;160.2;2.0
"2025-07-01";100.0;96.2;160.8;2.9
"2025-08-01";99.3;95.9;159.4;2.9
"2025-09-01";101.5;97.5;161.8;2.3
"2025-10-01";101.7;98.0;163.9;2.4
"2025-11-01";100.4;97.8;163.1;1.6
"2025-12-01";100.8;97.7;164.8;2.3
