"month";"starting_mrr";"new_mrr";"expansion_mrr";"contraction_mrr";"churned_mrr";"reactivated_mrr";"ending_mrr";"calculated_ending";"diff"
"2023-01-01";0.0;3466.0;0.0;0.0;0.0;0.0;3466.0;3466.0;0.0
"2023-02-01";3466.0;3615.0;350.0;0.0;-149.0;0.0;7282.0;7282.0;0.0
"2023-03-01";7282.0;3965.0;350.0;-100.0;0.0;0.0;11497.0;11497.0;0.0
"2023-04-01";11497.0;4314.0;450.0;-250.0;-497.0;0.0;15514.0;15514.0;0.0
"2023-05-01";15514.0;3322.0;800.0;-100.0;-494.0;0.0;19042.0;19042.0;0.0
"2023-06-01";19042.0;4913.0;650.0;-250.0;-347.0;0.0;24008.0;24008.0;0.0
"2023-07-01";24008.0;4511.0;700.0;0.0;-147.0;0.0;29072.0;29072.0;0.0
"2023-08-01";29072.0;4512.0;1600.0;-200.0;-793.0;98.0;34289.0;34289.0;0.0
"2023-09-01";34289.0;4603.0;1900.0;-600.0;-646.0;0.0;39546.0;39546.0;0.0
"2023-10-01";39546.0;4610.0;1150.0;-350.0;-345.0;0.0;44611.0;44611.0;0.0
"2023-11-01";44611.0;3659.0;1750.0;-450.0;-991.0;0.0;48579.0;48579.0;0.0
"2023-12-01";48579.0;4060.0;1600.0;-100.0;-1289.0;0.0;52850.0;52850.0;0.0
"2024-01-01";52850.0;4603.0;2050.0;-950.0;-494.0;49.0;58108.0;58108.0;0.0
"2024-02-01";58108.0;4999.0;1900.0;-200.0;-1091.0;0.0;63716.0;63716.0;0.0
"2024-03-01";63716.0;3358.0;2150.0;-1100.0;-1135.0;0.0;66989.0;66989.0;0.0
"2024-04-01";66989.0;5897.0;3550.0;-800.0;-1437.0;0.0;74199.0;74199.0;0.0
"2024-05-01";74199.0;5600.0;3350.0;-700.0;-939.0;0.0;81510.0;81510.0;0.0
"2024-06-01";81510.0;5699.0;3050.0;-650.0;-792.0;98.0;88915.0;88915.0;0.0
"2024-07-01";88915.0;6454.0;4300.0;-750.0;-1838.0;49.0;97130.0;97130.0;0.0
"2024-08-01";97130.0;6137.0;4650.0;-1250.0;-1636.0;245.0;105276.0;105276.0;0.0
"2024-09-01";105276.0;7490.0;3600.0;-1150.0;-1685.0;0.0;113531.0;113531.0;0.0
"2024-10-01";113531.0;7284.0;3500.0;-800.0;-2379.0;196.0;121332.0;121332.0;0.0
"2024-11-01";121332.0;6731.0;5550.0;-2400.0;-1040.0;98.0;130271.0;130271.0;0.0
"2024-12-01";130271.0;6686.0;3950.0;-1250.0;-2127.0;49.0;137579.0;137579.0;0.0
"2025-01-01";137579.0;5350.0;4700.0;-850.0;-1385.0;98.0;145492.0;145492.0;0.0
"2025-02-01";145492.0;8280.0;4550.0;-2100.0;-2223.0;98.0;154097.0;154097.0;0.0
"2025-03-01";154097.0;5898.0;5600.0;-950.0;-3128.0;98.0;161615.0;161615.0;0.0
"2025-04-01";161615.0;7337.0;5550.0;-1800.0;-2975.0;49.0;169776.0;169776.0;0.0
"2025-05-01";169776.0;8074.0;6250.0;-2650.0;-2972.0;49.0;178527.0;178527.0;0.0
"2025-06-01";178527.0;8277.0;6200.0;-1450.0;-3327.0;147.0;188374.0;188374.0;0.0
"2025-07-01";188374.0;9119.0;6750.0;-3150.0;-3916.0;245.0;197422.0;197422.0;0.0
"2025-08-01";197422.0;8513.0;6400.0;-3600.0;-4414.0;196.0;204517.0;204517.0;0.0
"2025-09-01";204517.0;7729.0;7850.0;-2250.0;-2920.0;294.0;215220.0;215220.0;0.0
"2025-10-01";215220.0;8867.0;7600.0;-1350.0;-3018.0;392.0;227711.0;227711.0;0.0
"2025-11-01";227711.0;10903.0;5600.0;-1050.0;-3928.0;196.0;239432.0;239432.0;0.0
"2025-12-01";239432.0;11656.0;7100.0;-1900.0;-3716.0;343.0;252915.0;252915.0;0.0
