customer_id,signup_month,initial_plan
CUST00001,2023-01,Starter
CUST00002,2023-01,Starter
CUST00003,2023-01,Growth
CUST00004,2023-01,Growth
CUST00005,2023-01,Growth
CUST00006,2023-01,Starter
CUST00007,2023-01,Starter
CUST00008,2023-01,Starter
CUST00009,2023-01,Starter
CUST00010,2023-01,Starter
CUST00011,2023-01,Starter
CUST00012,2023-01,Starter
CUST00013,2023-01,Growth
CUST00014,2023-01,Starter
CUST00015,2023-01,Starter
CUST00016,2023-01,Starter
CUST00017,2023-01,Growth
CUST00018,2023-01,Starter
CUST00019,2023-01,Growth
CUST00020,2023-01,Growth
CUST00021,2023-01,Starter
CUST00022,2023-01,Starter
CUST00023,2023-01,Scale
CUST00024,2023-01,Starter
CUST00025,2023-01,Starter
CUST00026,2023-01,Starter
CUST00027,2023-01,Growth
CUST00028,2023-01,Growth
CUST00029,2023-01,Growth
CUST00030,2023-01,Growth
CUST00031,2023-01,Starter
CUST00032,2023-01,Scale
CUST00033,2023-01,Starter
CUST00034,2023-01,Starter
CUST00035,2023-02,Growth
CUST00036,2023-02,Growth
CUST00037,2023-02,Growth
CUST00038,2023-02,Starter
CUST00039,2023-02,Growth
CUST00040,2023-02,Starter
CUST00041,2023-02,Starter
CUST00042,2023-02,Starter
CUST00043,2023-02,Starter
CUST00044,2023-02,Starter
CUST00045,2023-02,Starter
CUST00046,2023-02,Starter
CUST00047,2023-02,Growth
CUST00048,2023-02,Starter
CUST00049,2023-02,Starter
CUST00050,2023-02,Starter
CUST00051,2023-02,Starter
CUST00052,2023-02,Scale
CUST00053,2023-02,Growth
CUST00054,2023-02,Growth
CUST00055,2023-02,Starter
CUST00056,2023-02,Growth
CUST00057,2023-02,Starter
CUST00058,2023-02,Starter
CUST00059,2023-02,Scale
CUST00060,2023-02,Growth
CUST00061,2023-02,Starter
CUST00062,2023-02,Growth
CUST00063,2023-02,Growth
CUST00064,2023-02,Growth
CUST00065,2023-02,Starter
CUST00066,2023-02,Starter
CUST00067,2023-02,Starter
CUST00068,2023-02,Starter
CUST00069,2023-02,Starter
CUST00070,2023-03,Starter
CUST00071,2023-03,Starter
CUST00072,2023-03,Scale
CUST00073,2023-03,Growth
CUST00074,2023-03,Starter
CUST00075,2023-03,Starter
CUST00076,2023-03,Starter
CUST00077,2023-03,Growth
CUST00078,2023-03,Growth
CUST00079,2023-03,Starter
CUST00080,2023-03,Growth
CUST00081,2023-03,Growth
CUST00082,2023-03,Starter
CUST00083,2023-03,Growth
CUST00084,2023-03,Starter
CUST00085,2023-03,Growth
CUST00086,2023-03,Starter
CUST00087,2023-03,Starter
CUST00088,2023-03,Starter
CUST00089,2023-03,Starter
CUST00090,2023-03,Scale
CUST00091,2023-03,Growth
CUST00092,2023-03,Growth
CUST00093,2023-03,Starter
CUST00094,2023-03,Starter
CUST00095,2023-03,Growth
CUST00096,2023-03,Scale
CUST00097,2023-03,Starter
