customer_id,month,plan,mrr,status
CUST00001,2023-01,Starter,49,active
CUST00002,2023-01,Starter,49,active
CUST00003,2023-01,Growth,149,active
CUST00004,2023-01,Growth,149,active
CUST00005,2023-01,Growth,149,active
CUST00006,2023-01,Starter,49,active
CUST00007,2023-01,Starter,49,active
CUST00008,2023-01,Starter,49,active
CUST00009,2023-01,Starter,49,active
CUST00010,2023-01,Starter,49,active
CUST00011,2023-01,Starter,49,active
CUST00012,2023-01,Starter,49,active
CUST00013,2023-01,Growth,149,active
CUST00014,2023-01,Starter,49,active
CUST00015,2023-01,Starter,49,active
CUST00016,2023-01,Starter,49,active
CUST00017,2023-01,Growth,149,active
CUST00018,2023-01,Starter,49,active
CUST00019,2023-01,Growth,149,active
CUST00020,2023-01,Growth,149,active
CUST00021,2023-01,Starter,49,active
CUST00022,2023-01,Starter,49,active
CUST00023,2023-01,Scale,399,active
CUST00024,2023-01,Starter,49,active
CUST00025,2023-01,Starter,49,active
CUST00026,2023-01,Starter,49,active
CUST00027,2023-01,Growth,149,active
CUST00028,2023-01,Growth,149,active
CUST00029,2023-01,Growth,149,active
CUST00030,2023-01,Growth,149,active
CUST00031,2023-01,Starter,49,active
CUST00032,2023-01,Scale,399,active
CUST00033,2023-01,Starter,49,active
CUST00034,2023-01,Starter,49,active
CUST00001,2023-02,Starter,49,active
CUST00002,2023-02,Starter,49,active
CUST00003,2023-02,Growth,149,active
CUST00004,2023-02,Growth,149,active
CUST00005,2023-02,Growth,149,active
CUST00006,2023-02,Starter,49,active
CUST00007,2023-02,Starter,49,active
CUST00008,2023-02,Starter,49,active
CUST00009,2023-02,Starter,49,active
CUST00010,2023-02,Starter,49,active
CUST00011,2023-02,Starter,49,active
CUST00012,2023-02,Starter,49,active
CUST00013,2023-02,Growth,149,active
CUST00014,2023-02,Starter,49,active
CUST00015,2023-02,Starter,49,active
CUST00016,2023-02,Starter,49,active
CUST00017,2023-02,Growth,149,active
CUST00018,2023-02,Starter,49,active
CUST00019,2023-02,Scale,399,active
CUST00020,2023-02,Growth,149,active
CUST00021,2023-02,Starter,49,active
CUST00022,2023-02,Starter,49,active
CUST00023,2023-02,Scale,399,active
CUST00024,2023-02,Growth,149,active
CUST00025,2023-02,Starter,49,active
CUST00026,2023-02,Starter,49,active
CUST00027,2023-02,Growth,149,active
CUST00028,2023-02,Growth,149,active
CUST00029,2023-02,Growth,149,active
CUST00030,2023-02,Growth,0,canceled
CUST00031,2023-02,Starter,49,active
CUST00032,2023-02,Scale,399,active
CUST00033,2023-02,Starter,49,active
CUST00034,2023-02,Starter,49,active
CUST00035,2023-02,Growth,149,active
CUST00036,2023-02,Growth,149,active
CUST00037,2023-02,Growth,149,active
CUST00038,2023-02,Starter,49,active
CUST00039,2023-02,Growth,149,active
CUST00040,2023-02,Starter,49,active
CUST00041,2023-02,Starter,49,active
CUST00042,2023-02,Starter,49,active
CUST00043,2023-02,Starter,49,active
CUST00044,2023-02,Starter,49,active
CUST00045,2023-02,Starter,49,active
CUST00046,2023-02,Starter,49,active
CUST00047,2023-02,Growth,149,active
CUST00048,2023-02,Starter,49,active
CUST00049,2023-02,Starter,49,active
CUST00050,2023-02,Starter,49,active
CUST00051,2023-02,Starter,49,active
CUST00052,2023-02,Scale,399,active
CUST00053,2023-02,Growth,149,active
CUST00054,2023-02,Growth,149,active
CUST00055,2023-02,Starter,49,active
CUST00056,2023-02,Growth,149,active
CUST00057,2023-02,Starter,49,active
CUST00058,2023-02,Starter,49,active
CUST00059,2023-02,Scale,399,active
CUST00060,2023-02,Growth,149,active
CUST00061,2023-02,Starter,49,active
CUST00062,2023-02,Growth,149,active
CUST00063,2023-02,Growth,149,active
CUST00064,2023-02,Growth,149,active
CUST00065,2023-02,Starter,49,active
CUST00066,2023-02,Starter,49,active
CUST00067,2023-02,Starter,49,active
CUST00068,2023-02,Starter,49,active
CUST00069,2023-02,Starter,49,active
CUST00001,2023-03,Starter,49,active
CUST00002,2023-03,Starter,49,active
CUST00003,2023-03,Growth,149,active
CUST00004,2023-03,Growth,149,active
CUST00005,2023-03,Growth,149,active
CUST00006,2023-03,Starter,49,active
CUST00007,2023-03,Starter,49,active
CUST00008,2023-03,Starter,49,active
CUST00009,2023-03,Starter,49,active
CUST00010,2023-03,Starter,49,active
CUST00011,2023-03,Starter,49,active
CUST00012,2023-03,Starter,49,active
CUST00013,2023-03,Growth,149,active
CUST00014,2023-03,Starter,49,active
CUST00015,2023-03,Starter,49,active
CUST00016,2023-03,Starter,49,active
CUST00017,2023-03,Growth,149,active
CUST00018,2023-03,Starter,49,active
CUST00019,2023-03,Scale,399,active
CUST00020,2023-03,Growth,149,active
CUST00021,2023-03,Starter,49,active
CUST00022,2023-03,Starter,49,active
CUST00023,2023-03,Scale,399,active
CUST00024,2023-03,Starter,49,active
CUST00025,2023-03,Starter,49,active
CUST00026,2023-03,Starter,49,active
CUST00027,2023-03,Growth,149,active
CUST00028,2023-03,Growth,149,active
CUST00029,2023-03,Growth,149,active
CUST00030,2023-03,Growth,0,canceled
CUST00031,2023-03,Starter,49,active
CUST00032,2023-03,Scale,399,active
